utterance,paraphrase,list_of_slots,intent
Is it  warm   here   now ?,Is it warm right now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here at the moment?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm in here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it hot here right now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warmer here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for foggy conditions on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","what is the forecast for foggy conditions on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What's the forecast for foggy conditions on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018",What is the forecast for foggy conditions on 18 February 2018?,"['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018",what is the forecast for foggy conditions on 18 February 2018?,"['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","what's the forecast for foggy conditions on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for foggy conditions in Roulo on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018",What is the forecast for foggy conditions in Roulo on 18 February 2018?,"['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for foggy conditions for Roulo on February 18, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018",what is the forecast for foggy conditions for Roulo on 18 February 2018?,"['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a snowstorm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a snowstorm.,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard.,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and have a snowstorm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I would like to eat in Wallis and Futuna and get a snowstorm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,d like to eat in Wallis and Futuna and get a snowstorm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I would like to eat in Wallis and Futuna and have a snowstorm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a snow storm,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and have a blizzard,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What does the forecast look like in 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What's the forecast in 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What will the forecast look like in 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast for 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast at this point in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What does the forecast look like at this point in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What's the forecast for 23 hours and seventeen seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What does the forecast look like in 23 hours and 17 seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and 17 seconds at this point?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
I need a table at a restaurant in  Montserrat,I need a table in a restaurant in Montserrat,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I Need a Table in a Restaurant in Montserrat,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I need a table in a restaurant in Montserrat.,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I need a table at a restaurant in Montserrat,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I need a table at a restaurant in Montserrat.,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,Need a table in a restaurant in Montserrat,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,Need a table in a restaurant in Montserrat?,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I need a table in a Montserrat restaurant,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,Need a table at a restaurant in Montserrat,['Montserrat || country'],GetWeather
I need a table at a restaurant in  Montserrat,I need to have a table in a restaurant in Montserrat,['Montserrat || country'],GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in western Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in Western Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in western Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in Western Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in West Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","How is the weather forecast for a morning in western Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","How is the weather forecast for a morning in Western Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for a morning in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","How is the weather forecast for a morning in West Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","s the weather forecast for a morning in western Athens, Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will the weather be like this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will the weather be like in Brilliant MI this afternoon?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,How will the weather be this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What's the weather going to be like this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What's the weather going to be like in Brilliant MI this afternoon?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What's the weather like in Brilliant MI this afternoon?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,How is the weather going to be this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What's the weather like this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,How will the weather in Brilliant MI be this afternoon?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,How's the weather going to be this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What's the weather like near the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What is the weather like near the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,How is the weather near the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,How's the weather near the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What's the weather like near Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What is the weather like near Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What is the weather like not far from the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What's the weather like not far from the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What's the weather like close to the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,What is the weather like close to the Upper Klamath National Wildlife Refuge?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']",GetWeather
Weather in  Parc national de Nech Sar,Weather in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,weather in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather conditions in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,The weather in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather in Parc national de Nech Sar city,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,weather in Parc national de Nech Sar city,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather forecast in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather in Parc national de Nech Sar (weather in Parc national de Nech Sar),['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather in Parc national de Nech Sar (Weather in Parc national de Nech Sar),['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather Forecast in Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi'],GetWeather
What will the weather be in  Battle Lake ?,What will the weather be like in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What's the weather like in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather like in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How will the weather be in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What's the weather going to be like in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How will the weather in Battle Lake be?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How will the weather in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How is the weather going to be in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will the weather be like at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How will the weather turn in Battle Lake?,['Battle Lake || city'],GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in the current place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in the present place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be temperate in the current place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be temperate in the present place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in its current place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in its present place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in the current climate?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be moderate in its current location?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Is it going to be moderate in the current place?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
Will it be  temperate  in the  current place ?,Will it be temperate in the current climate?,"['temperate || condition_temperature', 'current place || current_location']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which is reachable on foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which is within walking distance?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which is reachable by foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which is accessible on foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which can be reached on foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, which is accessible by foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What's the weather like at eight o'clock in Laos, which is within walking distance?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"How is the weather at eight o'clock in Laos, which is reachable on foot?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"How is the weather at eight o'clock in Laos, which is within walking distance?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"What is the weather like at eight o'clock in Laos, within walking distance?","[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it's going to be windy at the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it's going to be windy at Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it will be windy at the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell Me If It Will Be Windy at the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it will be windy at Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it's going to be windy in the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it will be windy in the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it'll be windy at the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it'll be windy at Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Tell me if it is going to be windy at the Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it be windy here on December 16?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Is it going to be windy here on December 16?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it be windy here on 16 December?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it be windy here on December 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Is it going to be windy here on 16 December?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it get windy here on December 16?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Is it going to be windy here on December 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Is it going to get windy here on December 16?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it be windy on December 16?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
Will it be  windy   here  on  Dec. 16th ?,Will it be windy here on the 16th of December?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",GetWeather
What is the weather forecast for  Danvers,What's the weather forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What is the weather forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What is the forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What's the forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,How is the weather forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What does the weather forecast look like for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,How's the weather forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What will the weather forecast look like for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What does the weather forecast for Danvers look like?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,How does the weather forecast look for Danvers?,['Danvers || city'],GetWeather
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it freeze in Vananda Alaska on July 7, 2038?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",GetWeather
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing in Vananda Alaska on July 7, 2038?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",GetWeather
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it freeze in Vananda Alaska on July 7th, 2038?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",GetWeather
