utterance,paraphrase,list_of_slots,intent
"Tell me the weather forecast for  Roseburg ,  Iowa","What are the weather forecasts for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","How is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
Weather in  Malaysia,Which is the best weather forecast in Malaysia in July 2016.,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malaysia?,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malaysia?,['Malaysia || country'],GetWeather
Weather in  Malaysia,"Weather in Malaysia during April-Sep., at 23:00 GMT+8.30 GMT+1.30 GMT.",['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malaysia: forecasts and predictions.,['Malaysia || country'],GetWeather
Weather in  Malaysia,What is the weather in Malaysia and where can we expect sunshine and good weather?,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather forecast for Malaysia: very bad for August.,['Malaysia || country'],GetWeather
Weather in  Malaysia,How is the weather in Malaysia?,['Malaysia || country'],GetWeather
Weather in  Malaysia,How is the weather in Malaysia?,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malaysia: What is the Weather in Malaysia?,['Malaysia || country'],GetWeather
Tell me the weather forecast for  France,What is the weather forecast of France?,['France || country'],GetWeather
Tell me the weather forecast for  France,What is the weather forecast of France?,['France || country'],GetWeather
Tell me the weather forecast for  France,What is the weather forecast for France?,['France || country'],GetWeather
Tell me the weather forecast for  France,What is the weather forecast for France?,['France || country'],GetWeather
Tell me the weather forecast for  France,How do I get the weather forecast for France?,['France || country'],GetWeather
Tell me the weather forecast for  France,How would you weather forecast France on May 14th?,['France || country'],GetWeather
Tell me the weather forecast for  France,What's the forecast for France this weekend?,['France || country'],GetWeather
Tell me the weather forecast for  France,What are the forecasts for France soon.,['France || country'],GetWeather
Tell me the weather forecast for  France,What are the weather forecasts for France?,['France || country'],GetWeather
Tell me the weather forecast for  France,What is the forecast for France?,['France || country'],GetWeather
Will there be  wind  in  Hornitos   DC ?,How can wind be forecast in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Does hurricane activity exist in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in hornitos dc?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,What are some signs of wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,What wind has been recorded in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be any wind in Hornitos DC for months?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,How are the winds in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Is it  warm   here   now ?,Is it warm here yet?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here today?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm in the U.S.?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here in Florida right now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm out here in the morning?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it really warm here in North Dakota?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm and dry here in India?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","Does Roulo have foggy weather on February eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",GetWeather
Is it  hot  in the  current location ?,Why is it so hot at the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is heat in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
is it going ot be  chillier  in  Maumee,"is it going to be chillier in Maumee, New Jersey?","['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,it's going to be chillier in Maumee: the place that would be chilled in the summer?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,"(October 2016)Its going to be chillier in Maumee, Maui?","['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,Is it going to be colder in Maumee than usual?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,Is it going to be chillier in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,is it going to be colder in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,"Is it going to be cooler in Maumee than Oyo, Japan?","['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,is it going to be more chillier on Maumee?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,Is it going to be warmer in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
is it going ot be  chillier  in  Maumee,Is Maumee hotter than the other beaches?,"['chillier || condition_temperature', 'Maumee || city']",GetWeather
What is the weather like in  Wyatte,What is the weather in Wyatte like?,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"What is the weather like in Wyatte, Missouri?",['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,How is the weather in Wyatte?,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"How is the weather in Wyatte, NC?",['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"What is the weather in Wyatte, AZ?",['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"How is the weather at Wyatte, AL?",['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,What is the weather at Wyatte (TN)?,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,What is the weather like at Wyatte?,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"What is the weather like in Wyatte, Alabama?",['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,"What is the weather in Wyatte, Missouri like?",['Wyatte || city'],GetWeather
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,How humid will it be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What will humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What's humidity going to be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What does humidity look like to you this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
What will the  humidity  be  here   this week ?,What is the humidity forecast for this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm from now in PA this Friday (26th June)?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Is it still cold right now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA on a hot day?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,"Will it still be warm eleven hours from now in PA, despite the current drought and low pressure?","['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm in PA for a few hours?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the forecast of one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast of one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",GetWeather
What will the weather be in  Battle Lake ?,How we will be getting some beautiful weather at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather in battle lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will be the weather at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What do you think the weather would be in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will the weather be like at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,How is the weather at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather like around Battle Lake?,['Battle Lake || city'],GetWeather
Is it  cold   here ?,Why is it cold outside in Sweden?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it cold here?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it freezing outside?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,How cold is it in our country?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Why is it cold here in the US?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Why is it cold in the USA?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,How cold is this place?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it cold in winter?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Why is it cold outside in the north California?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it cold in India?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Are there chances of rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Will it rain in New Hampshire or Pennsylvania?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,"In New Hampshire, when will it start raining?","['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Were there any storms in New Hampshire this year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Is it possible that it will rain again in the next 10 years in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Will there be more rain during the next three months in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Is there going to be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,How likely is it that we'll see more rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
Will there be  rain   next year  in  New Hampshire ?,Can it rain again in New Hampshire this year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather like in Farallon Islands right now?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What's the weather on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on Farallon Islands today?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather in Farallon Island?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather in Farallon Islands at sunrise?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,Where is the weather on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5:30am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,How will the windy weather be in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Does it get windy at 4 pm on Saturday or Sunday?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy as of 4pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy and rainy in NY sometime next week?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4PM in NYC?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard!,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Warrior and Futuna and get a blizzard to side of the building.,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,Will I ever be able to get a blizzard if I eat in Wallis and Futuna?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard. I want to make it a picnic for my friends.,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,How do I get a blizzard and eat in Wallis and Futuna?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to go to eat in Wallis and Futuna and get a blizzard. What would it be like?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,What would happen if we ate at Wallis and Futuna and got a blizzard?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,Can you eat at Wallis and Futuna during a blizzard?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to live in Wallis & Futuna and get a blizzard. Where do you live?,"['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
I want to eat in  Wallis and Futuna  and get a  blizzard,"If I want to eat in Wallis and Futuna and get a blizzard, then I have to make it over.","['Wallis and Futuna || country', 'blizzard || condition_description']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 24 hours and 17 seconds as of right now?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast for this spot today in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast for the hour 17 in the next 24 hours?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is forecast for 23 hours and 17 seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast tomorrow?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast tomorrow afternoon in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,what is forecast in 23 hours and seventeen seconds at this current spot.?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",GetWeather
What will the weather be  in 3 years   in  Eros   NC ?,What will the weather be in 3 years in Eros NC?,"['in 3 years  || timeRange', 'Eros || city', 'NC || state']",GetWeather
What will the weather be  in 3 years   in  Eros   NC ?,What will the weather be in 3 years in Eros NC?,"['in 3 years  || timeRange', 'Eros || city', 'NC || state']",GetWeather
