utterance,paraphrase,list_of_slots,intent
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will be the weather this afternoon in Brillant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
Weather in  Cairngorms-Nationalpark   close from   freezing,Weather in Cairngorms-National Park near freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']",GetWeather
Weather in  Cairngorms-Nationalpark   close from   freezing,Weather at Cairngorms-National Park near freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']",GetWeather
Weather in  Cairngorms-Nationalpark   close from   freezing,Weather on Cairngorms-National Park close to freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']",GetWeather
Weather in  Cairngorms-Nationalpark   close from   freezing,Weather in Cairngorms-National Park close to freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']",GetWeather
Weather in  Cairngorms-Nationalpark   close from   freezing,Weather at Cairngorms-National Park close to freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']",GetWeather
is it  cloudy  in  Turkmenistan,does it cloud in Turkmenistan,"['cloudy || condition_description', 'Turkmenistan || country']",GetWeather
is it  cloudy  in  Turkmenistan,does it cloud in Turkmenistan?,"['cloudy || condition_description', 'Turkmenistan || country']",GetWeather
is it  cloudy  in  Turkmenistan,is it cloudy in Turkmenistan,"['cloudy || condition_description', 'Turkmenistan || country']",GetWeather
is it  cloudy  in  Turkmenistan,Is it cloudy in Turkmenistan,"['cloudy || condition_description', 'Turkmenistan || country']",GetWeather
is it  cloudy  in  Turkmenistan,is it cloudy in Turkmenistan?,"['cloudy || condition_description', 'Turkmenistan || country']",GetWeather
weather in  Hillsview   MA,Weather in Hillsview,"['Hillsview || city', 'MA || state']",GetWeather
weather in  Hillsview   MA,Weather in Hillsview.,"['Hillsview || city', 'MA || state']",GetWeather
weather in  Hillsview   MA,Weather at Hillsview MA,"['Hillsview || city', 'MA || state']",GetWeather
weather in  Hillsview   MA,Weather in the Hillsview MA,"['Hillsview || city', 'MA || state']",GetWeather
weather in  Hillsview   MA,Weather in Hillsview MA,"['Hillsview || city', 'MA || state']",GetWeather
Is it  cold   here ?,Is this cold?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it cool here?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is that cold here?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is there cold here?,"['cold || condition_temperature', 'here || current_location']",GetWeather
Is it  cold   here ?,Is it cold here?,"['cold || condition_temperature', 'here || current_location']",GetWeather
What will the weather be  here ?,What will be the weather here?...,['here || current_location'],GetWeather
What will the weather be  here ?,What will be the weather here?,['here || current_location'],GetWeather
What will the weather be  here ?,What will be the weather here??,['here || current_location'],GetWeather
What will the weather be  here ?,What is the weather here?,['here || current_location'],GetWeather
What will the weather be  here ?,Which weather will be here?,['here || current_location'],GetWeather
I need the weather for  Laos,I need weather for Laos.,['Laos || country'],GetWeather
I need the weather for  Laos,I need weather for Laos,['Laos || country'],GetWeather
I need the weather for  Laos,I need a weather for Laos,['Laos || country'],GetWeather
I need the weather for  Laos,I need climate for Laos,['Laos || country'],GetWeather
I need the weather for  Laos,I need the weather for Laos,['Laos || country'],GetWeather
is  Saint Robert   hotter  than  Turkmenistan,Is Saint Robert Warmer than Turkmenistan,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']",GetWeather
is  Saint Robert   hotter  than  Turkmenistan,Is Saint Robert warmer than Turkmenistan ?,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']",GetWeather
is  Saint Robert   hotter  than  Turkmenistan,Is Saint Robert Warmer than Turkmenistan?,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']",GetWeather
is  Saint Robert   hotter  than  Turkmenistan,Is Saint Robert warmer than Turkmenistan,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']",GetWeather
is  Saint Robert   hotter  than  Turkmenistan,Is Saint Robert warmer than Turkmenistan?,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']",GetWeather
What's the weather in  Macedonia,What the weather is in Macedonia?,['Macedonia || city'],GetWeather
What's the weather in  Macedonia,What the weather is in Macedonia,['Macedonia || city'],GetWeather
What's the weather in  Macedonia,What’s the Weather in Macedonia,['Macedonia || city'],GetWeather
What's the weather in  Macedonia,What's the Weather in Macedonia,['Macedonia || city'],GetWeather
What's the weather in  Macedonia,What's the Weather in Macedonia?,['Macedonia || city'],GetWeather
How's the forecast for  VI,How the prognosis for VI is,['VI || state'],GetWeather
How's the forecast for  VI,How is the projection for VI,['VI || state'],GetWeather
How's the forecast for  VI,How the prognosis is for VI,['VI || state'],GetWeather
How's the forecast for  VI,How is the prediction for VI,['VI || state'],GetWeather
How's the forecast for  VI,How is the prognosis for VI,['VI || state'],GetWeather
Weather in  Park Layne,Weather in Park Leyne,['Park Layne || city'],GetWeather
Weather in  Park Layne,The Weather in Park Layne,['Park Layne || city'],GetWeather
Weather in  Park Layne,Weather on Park Layne,['Park Layne || city'],GetWeather
Weather in  Park Layne,Weather in Park Layne,['Park Layne || city'],GetWeather
Weather in  Park Layne,Weather at Park Layne,['Park Layne || city'],GetWeather
Is it  warm   here   now ?,Is that warm now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is this warm now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is there warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it hot here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Tell me the weather forecast for  France,Tell me weather forecast for France.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me weather forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me weather forecasts for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me a weather forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France,['France || country'],GetWeather
What is the weather forecast for  Laos,What weather forecast is for Laos,['Laos || country'],GetWeather
What is the weather forecast for  Laos,Which is the weather forecast for Laos,['Laos || country'],GetWeather
What is the weather forecast for  Laos,What the weather forecast is for Laos,['Laos || country'],GetWeather
What is the weather forecast for  Laos,What is the weather forecast for Laos?,['Laos || country'],GetWeather
What is the weather forecast for  Laos,What is the weather forecast for Laos,['Laos || country'],GetWeather
Tell me the weather forecast for  HI,Tell me the weather forecast for IH,['HI || state'],GetWeather
Tell me the weather forecast for  HI,Tell me the weather forecast for HY,['HI || state'],GetWeather
Tell me the weather forecast for  HI,Tells me the weather forecast for HI,['HI || state'],GetWeather
Tell me the weather forecast for  HI,Tell me the weather forecast for HI.,['HI || state'],GetWeather
Tell me the weather forecast for  HI,Tell me the weather forecast for HI,['HI || state'],GetWeather
Will there be  snow  in  North Abington,Is there snow in North Abington,"['snow || condition_description', 'North Abington || city']",GetWeather
Will there be  snow  in  North Abington,Is there snow in North Abington?,"['snow || condition_description', 'North Abington || city']",GetWeather
Will there be  snow  in  North Abington,Are there snow in North Abington?,"['snow || condition_description', 'North Abington || city']",GetWeather
Will there be  snow  in  North Abington,Will there be snow in North Abington,"['snow || condition_description', 'North Abington || city']",GetWeather
Will there be  snow  in  North Abington,Will there be snow in North Abington?,"['snow || condition_description', 'North Abington || city']",GetWeather
what is the forecast for  Lesotho,What is the forecast for Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,what is the forecast for Lesotho,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,What is the forecast for Lesotho,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,which is the forecast for Lesotho,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,what the forecast is for Lesotho,['Lesotho || country'],GetWeather
What will the weather be in  Rwanda ?,What will be the climate in Rwanda?,['Rwanda || country'],GetWeather
What will the weather be in  Rwanda ?,What will be the weather in Rwanda?.,['Rwanda || country'],GetWeather
What will the weather be in  Rwanda ?,What will be the weather in Rwanda??,['Rwanda || country'],GetWeather
What will the weather be in  Rwanda ?,Which weather will be in Rwanda?,['Rwanda || country'],GetWeather
What will the weather be in  Rwanda ?,What will be the weather in Rwanda?,['Rwanda || country'],GetWeather
What is the weather forecast for  Danvers,What the weather forecast is for Danvers,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What’s the weather forecast for Danvers,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What's the weather forecast for Danvers,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What is the weather forecast for Danvers?,['Danvers || city'],GetWeather
What is the weather forecast for  Danvers,What is the weather forecast for Danvers,['Danvers || city'],GetWeather
what is the forecast for  Winnabow,what is the forecast for Winnabow,['Winnabow || city'],GetWeather
what is the forecast for  Winnabow,Which is the forecast for Winnabow,['Winnabow || city'],GetWeather
what is the forecast for  Winnabow,what's the forecast for Winnabow,['Winnabow || city'],GetWeather
what is the forecast for  Winnabow,what is the prediction for Winnabow,['Winnabow || city'],GetWeather
what is the forecast for  Winnabow,what's the prediction for Winnabow,['Winnabow || city'],GetWeather
is it  freezing  in  Prompton,Freezing in Prompton,"['freezing || condition_temperature', 'Prompton || city']",GetWeather
is it  freezing  in  Prompton,Is it frozen in Prompton,"['freezing || condition_temperature', 'Prompton || city']",GetWeather
is it  freezing  in  Prompton,Was it frozen in Prompton?,"['freezing || condition_temperature', 'Prompton || city']",GetWeather
is it  freezing  in  Prompton,Has it frozen in Prompton?,"['freezing || condition_temperature', 'Prompton || city']",GetWeather
is it  freezing  in  Prompton,Is it frozen in Prompton?,"['freezing || condition_temperature', 'Prompton || city']",GetWeather
Weather in  Gibraltar  at  meal  time,Weather in Gibraltar during meal,"['Gibraltar || country', 'meal || timeRange']",GetWeather
Weather in  Gibraltar  at  meal  time,Weather in Gibraltar during meal time,"['Gibraltar || country', 'meal || timeRange']",GetWeather
Weather in  Gibraltar  at  meal  time,Weather in Gibraltar during meals,"['Gibraltar || country', 'meal || timeRange']",GetWeather
Weather in  Gibraltar  at  meal  time,Weather in Gibraltar on meal,"['Gibraltar || country', 'meal || timeRange']",GetWeather
Weather in  Gibraltar  at  meal  time,Weather in Gibraltar on meal time,"['Gibraltar || country', 'meal || timeRange']",GetWeather
What's the weather in  Poland ?,What is the climate in Poland,['Poland || country'],GetWeather
What's the weather in  Poland ?,What is the climate in Poland??,['Poland || country'],GetWeather
What's the weather in  Poland ?,What is the climate in Poland?,['Poland || country'],GetWeather
What's the weather in  Poland ?,What’s the weather for Poland?,['Poland || country'],GetWeather
What's the weather in  Poland ?,What is the time in Poland?,['Poland || country'],GetWeather
Will it be  warmer  in  Flag ?,Will it get warmer at Flag?,"['warmer || condition_temperature', 'Flag || city']",GetWeather
Will it be  warmer  in  Flag ?,Will it get warmer in Flag?,"['warmer || condition_temperature', 'Flag || city']",GetWeather
Will it be  warmer  in  Flag ?,Will it get warmer in the flag?,"['warmer || condition_temperature', 'Flag || city']",GetWeather
Will it be  warmer  in  Flag ?,Will it get warmer on the flag?,"['warmer || condition_temperature', 'Flag || city']",GetWeather
Will it be  warmer  in  Flag ?,Will it get warmer under the flag?,"['warmer || condition_temperature', 'Flag || city']",GetWeather
What is the weather forecast for  Sanborn,Weather forecast for Sanborn,['Sanborn || city'],GetWeather
What is the weather forecast for  Sanborn,What the weather forecast is for Sanborn,['Sanborn || city'],GetWeather
What is the weather forecast for  Sanborn,What is the weather forecast for Sanborn?,['Sanborn || city'],GetWeather
What is the weather forecast for  Sanborn,What is the weather forecast for Sanborn,['Sanborn || city'],GetWeather
What is the weather forecast for  Sanborn,What's the weather forecast for Sanborn,['Sanborn || city'],GetWeather
what is the forecast for  California  for  rain,what is forecast for California for rain,"['California || state', 'rain || condition_description']",GetWeather
what is the forecast for  California  for  rain,which is the forecast for California for rain,"['California || state', 'rain || condition_description']",GetWeather
what is the forecast for  California  for  rain,What is the forecast for California for rain,"['California || state', 'rain || condition_description']",GetWeather
what is the forecast for  California  for  rain,what is the forecast for California for rain,"['California || state', 'rain || condition_description']",GetWeather
what is the forecast for  California  for  rain,what is the prediction for California for rain,"['California || state', 'rain || condition_description']",GetWeather
Will it be  colder  in  Texas ?,Will it be cool in Texas?,"['colder || condition_temperature', 'Texas || state']",GetWeather
Will it be  colder  in  Texas ?,Will it'll be cool in Texas?,"['colder || condition_temperature', 'Texas || state']",GetWeather
Will it be  colder  in  Texas ?,Will there be cold in Texas?,"['colder || condition_temperature', 'Texas || state']",GetWeather
Will it be  colder  in  Texas ?,Will they be cold in Texas?,"['colder || condition_temperature', 'Texas || state']",GetWeather
Will it be  colder  in  Texas ?,Will it'll be cold in Texas?,"['colder || condition_temperature', 'Texas || state']",GetWeather
What's the weather in  Nigeria ?,What is the climate in Nigeria,['Nigeria || country'],GetWeather
What's the weather in  Nigeria ?,What is the climate in Nigeria?,['Nigeria || country'],GetWeather
What's the weather in  Nigeria ?,What is the climate in Nigeria.,['Nigeria || country'],GetWeather
What's the weather in  Nigeria ?,What’s the weather for Nigeria?,['Nigeria || country'],GetWeather
What's the weather in  Nigeria ?,What is the time in Nigeria?,['Nigeria || country'],GetWeather
how's the weather in  Baywood,how is the weather in Baiwood,['Baywood || city'],GetWeather
how's the weather in  Baywood,how is the weather at Baywood,['Baywood || city'],GetWeather
how's the weather in  Baywood,how is the climate in Baywood,['Baywood || city'],GetWeather
how's the weather in  Baywood,how the weather is in Baywood,['Baywood || city'],GetWeather
how's the weather in  Baywood,what the weather is like in Baywood,['Baywood || city'],GetWeather
What is the weather  now  and  here ?,What is the weather now and here?,"['now || timeRange', 'here || current_location']",GetWeather
What is the weather  now  and  here ?,What is the weather right now and here?,"['now || timeRange', 'here || current_location']",GetWeather
What is the weather  now  and  here ?,What’s the weather here and now?,"['now || timeRange', 'here || current_location']",GetWeather
What is the weather  now  and  here ?,What's the weather here and now?,"['now || timeRange', 'here || current_location']",GetWeather
What is the weather  now  and  here ?,What is the weather here and now?,"['now || timeRange', 'here || current_location']",GetWeather
What is the weather forecast  near   United Kingdom,What's the weather forecast near the UK,"['near || spatial_relation', 'United Kingdom || country']",GetWeather
What is the weather forecast  near   United Kingdom,Which is the weather forecast near the UK,"['near || spatial_relation', 'United Kingdom || country']",GetWeather
What is the weather forecast  near   United Kingdom,What is the weather forecast near the UK,"['near || spatial_relation', 'United Kingdom || country']",GetWeather
What is the weather forecast  near   United Kingdom,What is the weather forecast near the UK?,"['near || spatial_relation', 'United Kingdom || country']",GetWeather
What is the weather forecast  near   United Kingdom,What is the weather forecast near the United Kingdom,"['near || spatial_relation', 'United Kingdom || country']",GetWeather
Is the weather  chilly  in  Pintura,Is the weather cool in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",GetWeather
Is the weather  chilly  in  Pintura,Is the weather cold in Pintura,"['chilly || condition_temperature', 'Pintura || city']",GetWeather
Is the weather  chilly  in  Pintura,Is the weather cold in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",GetWeather
Is the weather  chilly  in  Pintura,Will the weather be cool in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",GetWeather
Is the weather  chilly  in  Pintura,Will the weather be cold in Pintura,"['chilly || condition_temperature', 'Pintura || city']",GetWeather
Tell me the weather forecast for  Island Mountain,Tell me weather forecast for Island Mountain.,['Island Mountain || city'],GetWeather
Tell me the weather forecast for  Island Mountain,Tell my weather forecast for Island Mountain,['Island Mountain || city'],GetWeather
Tell me the weather forecast for  Island Mountain,Tell me weather forecast for Island Mountain,['Island Mountain || city'],GetWeather
Tell me the weather forecast for  Island Mountain,Tell me the weather forecast for the Island Mountain,['Island Mountain || city'],GetWeather
Tell me the weather forecast for  Island Mountain,Tell me the weather forecast for Island Mountain,['Island Mountain || city'],GetWeather
What is the weather forecast for  Cistern,What is the weather forecast for Cistern?,['Cistern || city'],GetWeather
What is the weather forecast for  Cistern,What is the weather forecast for Cistern,['Cistern || city'],GetWeather
What is the weather forecast for  Cistern,Which is the weather forecast for Cistern,['Cistern || city'],GetWeather
What is the weather forecast for  Cistern,What is the weather prediction for Cistern,['Cistern || city'],GetWeather
What is the weather forecast for  Cistern,What is the weather forecast for the Cistern,['Cistern || city'],GetWeather
What is the weather like in  Wyatte,What is the weather like in Wyatte,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,What’s the weather like in Wyatte,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,What's the weather like in Wyatte,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,Which is the weather in Wyatte,['Wyatte || city'],GetWeather
What is the weather like in  Wyatte,What the weather is like in Wyatte,['Wyatte || city'],GetWeather
When will  WI  be  temperate ?,When will we be temperate.,"['WI || state', 'temperate || condition_temperature']",GetWeather
When will  WI  be  temperate ?,When will we be moderate?,"['WI || state', 'temperate || condition_temperature']",GetWeather
When will  WI  be  temperate ?,When will we be warm?,"['WI || state', 'temperate || condition_temperature']",GetWeather
When will  WI  be  temperate ?,When will we be mild?,"['WI || state', 'temperate || condition_temperature']",GetWeather
When will  WI  be  temperate ?,When will we be temperate?,"['WI || state', 'temperate || condition_temperature']",GetWeather
Is it  hot  in the  current location ?,Is it hot on the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot at the present location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it warm at the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Is it  hot  in the  current location ?,Is it hot at the current location?,"['hot || condition_temperature', 'current location || current_location']",GetWeather
Weather in  Parc national de Nech Sar,Weather of Nech Sar National Park,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather at Nech Sar National Park,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather conditions in Nech Sar National Park,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather in the Nech Sar National Park,['Parc national de Nech Sar || geographic_poi'],GetWeather
Weather in  Parc national de Nech Sar,Weather in Nech Sar National Park,['Parc national de Nech Sar || geographic_poi'],GetWeather
What is the forecast for  in one minute   here,What the forecast is for in a minute here,"['in one minute || timeRange', 'here || current_location']",GetWeather
What is the forecast for  in one minute   here,What's the prediction for in one minute here,"['in one minute || timeRange', 'here || current_location']",GetWeather
What is the forecast for  in one minute   here,What's the prediction for in a minute here,"['in one minute || timeRange', 'here || current_location']",GetWeather
What is the forecast for  in one minute   here,What's the prognosis for in a minute here,"['in one minute || timeRange', 'here || current_location']",GetWeather
What is the forecast for  in one minute   here,What's the outlook for in a minute here,"['in one minute || timeRange', 'here || current_location']",GetWeather
What will the weather be in  Battle Lake ?,What will be the weather in Battle Lake?.,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will be the weather in Battle Lake??,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will be the weather in Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What will be the weather at Battle Lake?,['Battle Lake || city'],GetWeather
What will the weather be in  Battle Lake ?,What is the weather going to be in Battle Lake?,['Battle Lake || city'],GetWeather
what is the forecast for  freezing  weather  here,what the forecast is for frozen weather here,"['freezing || condition_temperature', 'here || current_location']",GetWeather
what is the forecast for  freezing  weather  here,what the forecast is for the freezing weather here,"['freezing || condition_temperature', 'here || current_location']",GetWeather
what is the forecast for  freezing  weather  here,what's the prediction for freezing weather here,"['freezing || condition_temperature', 'here || current_location']",GetWeather
what is the forecast for  freezing  weather  here,what's the prediction for frozen weather here,"['freezing || condition_temperature', 'here || current_location']",GetWeather
what is the forecast for  freezing  weather  here,what's the prediction for the freezing weather here,"['freezing || condition_temperature', 'here || current_location']",GetWeather
What is the weather forecast for  Manassa ?,What's the weather prediction for Manassas?,['Manassa || city'],GetWeather
