utterance,paraphrase,list_of_slots,intent
I want to book  Moishes Steakhouse  in  Lucky .,I wanted to book the Moishes Steakhouse in Lucky.,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']",BookRestaurant
I want to book  Moishes Steakhouse  in  Lucky .,I wanted to book the Moishes Steakhouse inLucky .,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']",BookRestaurant
Book a  restaurant  reservation in  ND,Book a restaurant reservation in ND,"['restaurant || restaurant_type', 'ND || state']",BookRestaurant
Book a  restaurant  reservation in  ND,Booking a restaurant reservation in ND.,"['restaurant || restaurant_type', 'ND || state']",BookRestaurant
Book a  restaurant  reservation in  ND,Booking a restaurant reservation in ND,"['restaurant || restaurant_type', 'ND || state']",BookRestaurant
Book a  restaurant  reservation in  ND,Booking a restaurant reserve in ND,"['restaurant || restaurant_type', 'ND || state']",BookRestaurant
Book a  restaurant  reservation in  ND,Book off a restaurant reservation in ND,"['restaurant || restaurant_type', 'ND || state']",BookRestaurant
need a table for  2  in  Kuwait,need a schedule for 2 in Kuwait,"['2 || party_size_number', 'Kuwait || country']",BookRestaurant
need a table for  2  in  Kuwait,need a table for two in Kuwait,"['2 || party_size_number', 'Kuwait || country']",BookRestaurant
need a table for  2  in  Kuwait,Need a table for 2 in Kuwait,"['2 || party_size_number', 'Kuwait || country']",BookRestaurant
need a table for  2  in  Kuwait,need a table for 2 in Kuwait,"['2 || party_size_number', 'Kuwait || country']",BookRestaurant
need a table for  2  in  Kuwait,needs a table for 2 in Kuwait,"['2 || party_size_number', 'Kuwait || country']",BookRestaurant
book spot at  Candle Cafe,Book spot on Candle Cafe,['Candle Cafe || restaurant_name'],BookRestaurant
book spot at  Candle Cafe,Book spot in Candle Cafe,['Candle Cafe || restaurant_name'],BookRestaurant
book spot at  Candle Cafe,Book spot at Candle Cafe,['Candle Cafe || restaurant_name'],BookRestaurant
book spot at  Candle Cafe,Book Spot at Candle Cafe,['Candle Cafe || restaurant_name'],BookRestaurant
book spot at  Candle Cafe,Book spot at the Candle Cafe,['Candle Cafe || restaurant_name'],BookRestaurant
Book spot at  Fried chicken restaurant  in  Mauritania,Book spot at the Fried chicken restaurant,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']",BookRestaurant
Book spot at  Fried chicken restaurant  in  Mauritania,Book spot at the Fried chicken restaurant of Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']",BookRestaurant
Book spot at  Fried chicken restaurant  in  Mauritania,Book spot in a Fried chicken restaurant in Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']",BookRestaurant
Book spot at  Fried chicken restaurant  in  Mauritania,Book slot at Fried poultry restaurant in Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']",BookRestaurant
Book spot at  Fried chicken restaurant  in  Mauritania,Book spot at the Fried chicken restaurant in Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']",BookRestaurant
Book a  restaurant  reservation  near   OR   next week,Keep a restaurant reservation near OR next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']",BookRestaurant
Book a  restaurant  reservation  near   OR   next week,book a restaurant reservation near OR next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']",BookRestaurant
Book a  restaurant  reservation  near   OR   next week,Book a restaurant reservation near OR next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']",BookRestaurant
Book a  restaurant  reservation  near   OR   next week,Buy a restaurant reservation near OR next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']",BookRestaurant
Book a  restaurant  reservation  near   OR   next week,Booking a restaurant reservation near OR next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']",BookRestaurant
Book a reservation for a  restaurant  in  Yemen,Book a book for a restaurant in Yemen,"['restaurant || restaurant_type', 'Yemen || country']",BookRestaurant
Book a reservation for a  restaurant  in  Yemen,Booking a book for a restaurant in Yemen,"['restaurant || restaurant_type', 'Yemen || country']",BookRestaurant
Book a reservation for a  restaurant  in  Yemen,Book up a reservation for a restaurant in Yemen,"['restaurant || restaurant_type', 'Yemen || country']",BookRestaurant
Book a reservation for a  restaurant  in  Yemen,Booking a reservation for a restaurant in Yemen,"['restaurant || restaurant_type', 'Yemen || country']",BookRestaurant
Book a reservation for a  restaurant  in  Yemen,Book a reservation for a restaurant in Yemen,"['restaurant || restaurant_type', 'Yemen || country']",BookRestaurant
Book a  restaurant  with a  spa  in  Connecticut,Buy a restaurant with spa in Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']",BookRestaurant
Book a  restaurant  with a  spa  in  Connecticut,Buy a restaurant with a spa in Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']",BookRestaurant
Book a  restaurant  with a  spa  in  Connecticut,Booking a restaurant with spa in Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']",BookRestaurant
Book a  restaurant  with a  spa  in  Connecticut,Book a restaurant with a spa in Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']",BookRestaurant
Book a  restaurant  with a  spa  in  Connecticut,Booking a restaurant with a spa in Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']",BookRestaurant
book a  turkish   restaurant  in  DE,booking a Turkish restaurant in the,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']",BookRestaurant
book a  turkish   restaurant  in  DE,booking a Turkish restaurant in,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']",BookRestaurant
book a  turkish   restaurant  in  DE,booking a Turkish restaurant in Germany,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']",BookRestaurant
book a  turkish   restaurant  in  DE,booking a Turkish restaurant in Greece,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']",BookRestaurant
book a  turkish   restaurant  in  DE,booking a Turkish restaurant in Turkey,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']",BookRestaurant
book a table for a party of  6,book a table for the party of six,['6 || party_size_number'],BookRestaurant
book a table for a party of  6,write a table for the party of 6,['6 || party_size_number'],BookRestaurant
book a table for a party of  6,book a table for party of 6,['6 || party_size_number'],BookRestaurant
book a table for a party of  6,booked a table for the party of 6,['6 || party_size_number'],BookRestaurant
book a table for a party of  6,book a table for the party of 6,['6 || party_size_number'],BookRestaurant
book spot at  top-rated   restaurant,Book spot at highest rated restaurant,"['top-rated || sort', 'restaurant || restaurant_type']",BookRestaurant
book spot at  top-rated   restaurant,book spot in top-rated restaurant,"['top-rated || sort', 'restaurant || restaurant_type']",BookRestaurant
book spot at  top-rated   restaurant,Book spot in top-rated restaurant,"['top-rated || sort', 'restaurant || restaurant_type']",BookRestaurant
book spot at  top-rated   restaurant,Book spot at the top-rated restaurant,"['top-rated || sort', 'restaurant || restaurant_type']",BookRestaurant
book spot at  top-rated   restaurant,Book spot at a top-rated restaurant,"['top-rated || sort', 'restaurant || restaurant_type']",BookRestaurant
need to book a table in  Ludden,Have to book a table in Ludden,['Ludden || city'],BookRestaurant
need to book a table in  Ludden,needs to book a table in Ludden,['Ludden || city'],BookRestaurant
need to book a table in  Ludden,The need to book a table in Ludden,['Ludden || city'],BookRestaurant
need to book a table in  Ludden,Need to book a table in Ludden,['Ludden || city'],BookRestaurant
need to book a table in  Ludden,need to book a table in Ludden,['Ludden || city'],BookRestaurant
Book a  restaurant  reservation for  one  in  AR,Book a restaurant reservation for one in AR.,"['restaurant || restaurant_type', 'one || party_size_number', 'AR || state']",BookRestaurant
Book a  restaurant  reservation for  one  in  AR,Book a restaurant reservation for one in AR,"['restaurant || restaurant_type', 'one || party_size_number', 'AR || state']",BookRestaurant
Book a  restaurant  reservation for  one  in  AR,Booking a restaurant for one in AR,"['restaurant || restaurant_type', 'one || party_size_number', 'AR || state']",BookRestaurant
Book a  restaurant  reservation for  one  in  AR,Buy a restaurant reservation for one in AR,"['restaurant || restaurant_type', 'one || party_size_number', 'AR || state']",BookRestaurant
Book a  restaurant  reservation for  one  in  AR,Booking a restaurant reservation for one in AR,"['restaurant || restaurant_type', 'one || party_size_number', 'AR || state']",BookRestaurant
book a table in  FL  for  ten  people,booked a table in FL for ten people,"['FL || state', 'ten || party_size_number']",BookRestaurant
book a table in  FL  for  ten  people,book up a table in FL for ten people,"['FL || state', 'ten || party_size_number']",BookRestaurant
book a table in  FL  for  ten  people,booking a table in FL for ten people,"['FL || state', 'ten || party_size_number']",BookRestaurant
book a table in  FL  for  ten  people,book a table in FL for 10 people,"['FL || state', 'ten || party_size_number']",BookRestaurant
book a table in  FL  for  ten  people,book a table in FL for ten people,"['FL || state', 'ten || party_size_number']",BookRestaurant
Book spot for  7  at  NH   Theressa,Book spot for 7 at NH Theresha,"['7 || party_size_number', 'NH || state', 'Theressa || city']",BookRestaurant
Book spot for  7  at  NH   Theressa,Book spot for 7 at NH Teressa,"['7 || party_size_number', 'NH || state', 'Theressa || city']",BookRestaurant
Book spot for  7  at  NH   Theressa,Book spot for 7 at the NH Theressa,"['7 || party_size_number', 'NH || state', 'Theressa || city']",BookRestaurant
Book spot for  7  at  NH   Theressa,Book spot for 7 at NH Theresa,"['7 || party_size_number', 'NH || state', 'Theressa || city']",BookRestaurant
Book spot for  7  at  NH   Theressa,Book spot for 7 at NH Theressa,"['7 || party_size_number', 'NH || state', 'Theressa || city']",BookRestaurant
I need a table in  Anderson   Arkansas,I needed a table in Anderson Arkansas,"['Anderson || city', 'Arkansas || state']",BookRestaurant
I need a table in  Anderson   Arkansas,I needs a table in Anderson Arkansas,"['Anderson || city', 'Arkansas || state']",BookRestaurant
I need a table in  Anderson   Arkansas,I need a desk in Anderson Arkansas,"['Anderson || city', 'Arkansas || state']",BookRestaurant
I need a table in  Anderson   Arkansas,"I need a table in Anderson, Arkansas","['Anderson || city', 'Arkansas || state']",BookRestaurant
I need a table in  Anderson   Arkansas,I need a table in Anderson Arkansas,"['Anderson || city', 'Arkansas || state']",BookRestaurant
book spot in  Lebanon  for  ten weeks from now,book spot in Lebanon for ten weeks,"['Lebanon || country', 'ten weeks from now || timeRange']",BookRestaurant
book spot in  Lebanon  for  ten weeks from now,book spot in Lebanon for ten weeks now,"['Lebanon || country', 'ten weeks from now || timeRange']",BookRestaurant
book spot in  Lebanon  for  ten weeks from now,book spot in Lebanon for 10 weeks from now,"['Lebanon || country', 'ten weeks from now || timeRange']",BookRestaurant
book spot in  Lebanon  for  ten weeks from now,Book spot in Lebanon for ten weeks from now,"['Lebanon || country', 'ten weeks from now || timeRange']",BookRestaurant
book spot in  Lebanon  for  ten weeks from now,book spot in Lebanon for ten weeks from now,"['Lebanon || country', 'ten weeks from now || timeRange']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Keep me booked for top-rated pub in Ladue, Colorado.","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Keep me booked for top-rated pub in Ladue, Colorado","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Buy me a booking for the top-rated pub in Ladue, Colorado","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Buy me a booking for top-rated pub in Ladue, Colorado","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Buy me a booking for a top-rated bar in Ladue, Colorado","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
I need to find a table for  4  at a  brasserie  that has  fondue,I needs to find a desk for 4 in a brasserie that is running out of money,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']",BookRestaurant
I need to find a table for  4  at a  brasserie  that has  fondue,I needs to find a desk for 4 in a brasserie that is fucked,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']",BookRestaurant
I need to find a table for  4  at a  brasserie  that has  fondue,I needs to find a desk for 4 in a brasserie that is running out.,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']",BookRestaurant
I need to find a table for  4  at a  brasserie  that has  fondue,I needs to find a desk for 4 in a brasserie that is running out,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']",BookRestaurant
I need to find a table for  4  at a  brasserie  that has  fondue,I needs to find a desk for 4 in a brasserie that is in a mess,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']",BookRestaurant
I want to book a  bistro  that serves  pasta salad  in  Brazil .,I would like to book one bistro which serves a pasta salad for Brazil.,"['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']",BookRestaurant
I want to book a  bistro  that serves  pasta salad  in  Brazil .,I would like to book one bistro which serves a pasta salad in Brazil.,"['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']",BookRestaurant
I want to book a  bistro  that serves  pasta salad  in  Brazil .,I would like to book one bistro which serves a pasta salad from Brazil.,"['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']",BookRestaurant
I want to book a  bistro  that serves  pasta salad  in  Brazil .,I would like to book one bistro which serves a pasta salad from Brazil .,"['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']",BookRestaurant
I want to book a  bistro  that serves  pasta salad  in  Brazil .,"I would like to book one bistro which serves a pasta salad, in Brazil.","['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']",BookRestaurant
"Please make a booking at  Sonoy  in  Montague ,  LA .","Please book at Sonoy's in Montague, LA","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']",BookRestaurant
"Please make a booking at  Sonoy  in  Montague ,  LA .","Please book at Sonoy, in Montague, LA.","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']",BookRestaurant
"Please make a booking at  Sonoy  in  Montague ,  LA .","Please book at Sonoy of Montague, LA.","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']",BookRestaurant
"Please make a booking at  Sonoy  in  Montague ,  LA .","Please book at Sonoy en Montague, LA.","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']",BookRestaurant
"Please make a booking at  Sonoy  in  Montague ,  LA .","Please book at Sonoy en Montague, LA .","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']",BookRestaurant
I want to book the  best   oyster bar  in  Dulce  for  six  people.,I wants to book out the best ostrich bar in Dulce for six.,"['best || sort', 'oyster bar || restaurant_type', 'Dulce || city', 'six || party_size_number']",BookRestaurant
I want to book the  best   oyster bar  in  Dulce  for  six  people.,I wants to book Dulce's best ostrich bar for six.,"['best || sort', 'oyster bar || restaurant_type', 'Dulce || city', 'six || party_size_number']",BookRestaurant
I want to book the  best   oyster bar  in  Dulce  for  six  people.,I wants to book Dulce’s best ostrich bar for six people.,"['best || sort', 'oyster bar || restaurant_type', 'Dulce || city', 'six || party_size_number']",BookRestaurant
I want to book the  best   oyster bar  in  Dulce  for  six  people.,I wants to book Dulce's best ostrich bar for six people.,"['best || sort', 'oyster bar || restaurant_type', 'Dulce || city', 'six || party_size_number']",BookRestaurant
I want to book the  best   oyster bar  in  Dulce  for  six  people.,I wants to book Dulce's best ostrich bar for 6 people.,"['best || sort', 'oyster bar || restaurant_type', 'Dulce || city', 'six || party_size_number']",BookRestaurant
book spot for  nine  at  Fish Express  in  Mongolia,Book spot for nine at the Fish Express,"['nine || party_size_number', 'Fish Express || restaurant_name', 'Mongolia || country']",BookRestaurant
book spot for  nine  at  Fish Express  in  Mongolia,Book spot for nine at Fish Express Mongolia,"['nine || party_size_number', 'Fish Express || restaurant_name', 'Mongolia || country']",BookRestaurant
book spot for  nine  at  Fish Express  in  Mongolia,"Book spot for nine at Fish Express, Mongolia","['nine || party_size_number', 'Fish Express || restaurant_name', 'Mongolia || country']",BookRestaurant
book spot for  nine  at  Fish Express  in  Mongolia,Book spot for nine at Fish Express,"['nine || party_size_number', 'Fish Express || restaurant_name', 'Mongolia || country']",BookRestaurant
book spot for  nine  at  Fish Express  in  Mongolia,Book spot for nine at Fish Express in Mongolia,"['nine || party_size_number', 'Fish Express || restaurant_name', 'Mongolia || country']",BookRestaurant
Book a reservation for  seven  at  Harper Woods,Booking a book for seven at Harper Woods,"['seven || party_size_number', 'Harper Woods || city']",BookRestaurant
Book a reservation for  seven  at  Harper Woods,Book a book for seven at Harper Woods,"['seven || party_size_number', 'Harper Woods || city']",BookRestaurant
Book a reservation for  seven  at  Harper Woods,Book a booking for seven at Harper Woods,"['seven || party_size_number', 'Harper Woods || city']",BookRestaurant
Book a reservation for  seven  at  Harper Woods,Book a reservation for seven at Harper Woods.,"['seven || party_size_number', 'Harper Woods || city']",BookRestaurant
Book a reservation for  seven  at  Harper Woods,Book a reservation for seven at Harper Woods,"['seven || party_size_number', 'Harper Woods || city']",BookRestaurant
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,I want the Baker's Keyboards Lounge for clear and Yvonne Ramirez.,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']",BookRestaurant
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,I want the Baker's Keyboards Lounge for clear and Yvonne Ramirez .,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']",BookRestaurant
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,I want the Baker's Keyboards Lounge to be booked for clear and Yvonne Ramirez.,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']",BookRestaurant
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,I want the Baker's Keyboard Lounge to be booked for clear and Yvonne Ramirez.,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']",BookRestaurant
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,I want the Baker's Keyboard Lounge to be booked for clear and Yvonne Ramirez .,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']",BookRestaurant
book spot for  eight   close  to  Marion Center,Book spot for 8 near Marion Center,"['eight || party_size_number', 'close || spatial_relation', 'Marion Center || poi']",BookRestaurant
book spot for  eight   close  to  Marion Center,Book spot for the eight near Marion Center,"['eight || party_size_number', 'close || spatial_relation', 'Marion Center || poi']",BookRestaurant
