utterance,paraphrase,list_of_slots,error_category,,
Weather in  Malaysia,What is the weather in Malaysia and where can we expect sunshine and good weather?,['Malaysia || country'],"semantic, wordy",,
Weather in  Malaysia,Weather forecast for Malaysia: very bad for August.,['Malaysia || country'],answering,,
Weather in  Malaysia,How is the weather in Malaysia?,['Malaysia || country'],correct,,
Weather in  Malaysia,How is the weather in Malaysia?,['Malaysia || country'],correct,,
Weather in  Malaysia,Weather in Malaysia: What is the Weather in Malaysia?,['Malaysia || country'],redundant,,
Tell me the weather forecast for  France,What is the weather forecast of France?,['France || country'],grammar,,
Tell me the weather forecast for  France,What is the weather forecast of France?,['France || country'],grammar,,
Tell me the weather forecast for  France,What is the weather forecast for France?,['France || country'],correct,,
Tell me the weather forecast for  France,What is the weather forecast for France?,['France || country'],correct,,
Tell me the weather forecast for  France,How do I get the weather forecast for France?,['France || country'],correct,,
Tell me the weather forecast for  France,How would you weather forecast France on May 14th?,['France || country'],slot addition,,
Tell me the weather forecast for  France,What's the forecast for France this weekend?,['France || country'],slot addition,,
Tell me the weather forecast for  France,What are the forecasts for France soon.,['France || country'],slot addition,,
Tell me the weather forecast for  France,What are the weather forecasts for France?,['France || country'],correct,,
Tell me the weather forecast for  France,What is the forecast for France?,['France || country'],correct,,
Will there be  wind  in  Hornitos   DC ?,How can wind be forecast in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",semantic,,
Will there be  wind  in  Hornitos   DC ?,Does hurricane activity exist in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",correct,,
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",duplication,,
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",duplication,,
Will there be  wind  in  Hornitos   DC ?,Will there be wind in hornitos dc?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",duplication,,
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",duplication,,
Will there be  wind  in  Hornitos   DC ?,What are some signs of wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",correct,,
Will there be  wind  in  Hornitos   DC ?,What wind has been recorded in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",correct,,
Will there be  wind  in  Hornitos   DC ?,Will there be any wind in Hornitos DC for months?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",slot addition,,
Will there be  wind  in  Hornitos   DC ?,How are the winds in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",correct,,
Is it  warm   here   now ?,Is it warm here yet?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",correct,,
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",duplication,,
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",duplication,,
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",duplication,,
Is it  warm   here   now ?,Is it warm here today?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",correct,,
Is it  warm   here   now ?,Is it warm in the U.S.?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']","slot omission, wrong slot",,
Is it  warm   here   now ?,Is it warm here in Florida right now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",slot addition,,
Is it  warm   here   now ?,Is it warm out here in the morning?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",correct,,
Is it  warm   here   now ?,Is it really warm here in North Dakota?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",wrong slot,,
Is it  warm   here   now ?,Is it warm and dry here in India?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",wrong slot,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","What is the forecast for Roulo for foggy conditions on February the eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",duplication,,
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","Does Roulo have foggy weather on February eighteenth, 2018?","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']",correct,,
Is it  hot  in the  current location ?,Why is it so hot at the current location?,"['hot || condition_temperature', 'current location || current_location']",semantic,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is it hot in the current location?,"['hot || condition_temperature', 'current location || current_location']",duplication,,
Is it  hot  in the  current location ?,Is heat in the current location?,"['hot || condition_temperature', 'current location || current_location']",grammar,,
is it going ot be  chillier  in  Maumee,"is it going to be chillier in Maumee, New Jersey?","['chillier || condition_temperature', 'Maumee || city']",slot addition,,
is it going ot be  chillier  in  Maumee,it's going to be chillier in Maumee: the place that would be chilled in the summer?,"['chillier || condition_temperature', 'Maumee || city']","answering, punctuation",,
is it going ot be  chillier  in  Maumee,"(October 2016)Its going to be chillier in Maumee, Maui?","['chillier || condition_temperature', 'Maumee || city']",slot addition,,
is it going ot be  chillier  in  Maumee,Is it going to be colder in Maumee than usual?,"['chillier || condition_temperature', 'Maumee || city']",correct,,
is it going ot be  chillier  in  Maumee,Is it going to be chillier in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",correct,,
is it going ot be  chillier  in  Maumee,is it going to be colder in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",correct,,
is it going ot be  chillier  in  Maumee,"Is it going to be cooler in Maumee than Oyo, Japan?","['chillier || condition_temperature', 'Maumee || city']","semantic, wordy, slot addition",,
is it going ot be  chillier  in  Maumee,is it going to be more chillier on Maumee?,"['chillier || condition_temperature', 'Maumee || city']",correct,,
is it going ot be  chillier  in  Maumee,Is it going to be warmer in Maumee?,"['chillier || condition_temperature', 'Maumee || city']",correct,,
is it going ot be  chillier  in  Maumee,Is Maumee hotter than the other beaches?,"['chillier || condition_temperature', 'Maumee || city']","semantic, wordy",,
What is the weather like in  Wyatte,What is the weather in Wyatte like?,['Wyatte || city'],correct,,
What is the weather like in  Wyatte,"What is the weather like in Wyatte, Missouri?",['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,How is the weather in Wyatte?,['Wyatte || city'],correct,,
What is the weather like in  Wyatte,"How is the weather in Wyatte, NC?",['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,"What is the weather in Wyatte, AZ?",['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,"How is the weather at Wyatte, AL?",['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,What is the weather at Wyatte (TN)?,['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,What is the weather like at Wyatte?,['Wyatte || city'],correct,,
What is the weather like in  Wyatte,"What is the weather like in Wyatte, Alabama?",['Wyatte || city'],slot addition,,
What is the weather like in  Wyatte,"What is the weather in Wyatte, Missouri like?",['Wyatte || city'],slot addition,,
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What will the humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,How humid will it be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What will humidity be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What's humidity going to be this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What does humidity look like to you this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
What will the  humidity  be  here   this week ?,What is the humidity forecast for this week?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']",slot omission,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm from now in PA this Friday (26th June)?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",correct,,
Will it still be  warm   nineteen hours from now  in  PA,Is it still cold right now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",correct,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA on a hot day?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",wordy,,
Will it still be  warm   nineteen hours from now  in  PA,"Will it still be warm eleven hours from now in PA, despite the current drought and low pressure?","['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",wordy,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",duplication,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",duplication,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",duplication,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm nineteen hours from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",duplication,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm in PA for a few hours?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",correct,,
Will it still be  warm   nineteen hours from now  in  PA,Will it still be warm from now in PA?,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']",correct,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast for one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",duplication,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the forecast of one am in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",grammar,,
"What is the weather forecast for  one am.  in  West Athens ,  Benin","What is the weather forecast of one am. in West Athens, Benin?","['one am. || timeRange', 'West Athens || city', 'Benin || country']",grammar,,
What will the weather be in  Battle Lake ?,How we will be getting some beautiful weather at Battle Lake?,['Battle Lake || city'],semantic,,
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What is the weather in battle lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What is the weather in Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What will be the weather at Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What do you think the weather would be in Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What will the weather be like at Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,How is the weather at Battle Lake?,['Battle Lake || city'],correct,,
What will the weather be in  Battle Lake ?,What is the weather like around Battle Lake?,['Battle Lake || city'],slot addition,,
Is it  cold   here ?,Why is it cold outside in Sweden?,"['cold || condition_temperature', 'here || current_location']","semantic, slot addition",,
Is it  cold   here ?,Is it cold here?,"['cold || condition_temperature', 'here || current_location']",duplication,,
Is it  cold   here ?,Is it freezing outside?,"['cold || condition_temperature', 'here || current_location']",correct,,
Is it  cold   here ?,How cold is it in our country?,"['cold || condition_temperature', 'here || current_location']",correct,,
Is it  cold   here ?,Why is it cold here in the US?,"['cold || condition_temperature', 'here || current_location']",slot addition,,
Is it  cold   here ?,Why is it cold in the USA?,"['cold || condition_temperature', 'here || current_location']",wrong slot,,
Is it  cold   here ?,How cold is this place?,"['cold || condition_temperature', 'here || current_location']",correct,,
Is it  cold   here ?,Is it cold in winter?,"['cold || condition_temperature', 'here || current_location']",wrong slot,,
Is it  cold   here ?,Why is it cold outside in the north California?,"['cold || condition_temperature', 'here || current_location']",slot addition,,
Is it  cold   here ?,Is it cold in India?,"['cold || condition_temperature', 'here || current_location']",wrong slot,,
Will there be  rain   next year  in  New Hampshire ?,Are there chances of rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will it rain in New Hampshire or Pennsylvania?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",slot omission,,
Will there be  rain   next year  in  New Hampshire ?,"In New Hampshire, when will it start raining?","['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']","semantic, slot omission",,
Will there be  rain   next year  in  New Hampshire ?,Were there any storms in New Hampshire this year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Is it possible that it will rain again in the next 10 years in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be more rain during the next three months in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Is there going to be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",duplication,,
Will there be  rain   next year  in  New Hampshire ?,How likely is it that we'll see more rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Can it rain again in New Hampshire this year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather like in Farallon Islands right now?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What's the weather on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']","grammar, slot omission",,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on Farallon Islands today?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",grammar,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather in Farallon Island?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']","spelling, grammar, slot omission",,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",slot omission,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",slot omission,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather in Farallon Islands at sunrise?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",grammar,,
What is the weather at  5 am  on the  Farallon Islands ?,Where is the weather on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",grammar,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5:30am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",spelling,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,How will the windy weather be in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",slot omission,,
Will it be  windy  at  4 Pm  in  NY ?,Does it get windy at 4 pm on Saturday or Sunday?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",slot omission,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy as of 4pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",spelling,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",slot omission,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",slot omission,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy and rainy in NY sometime next week?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",correct,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4PM in NYC?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']","spelling, wrong slot",,
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard!,"['Wallis and Futuna || country', 'blizzard || condition_description']","duplication, punctuation",,
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Warrior and Futuna and get a blizzard to side of the building.,"['Wallis and Futuna || country', 'blizzard || condition_description']","grammar, homonym, wordy",,
I want to eat in  Wallis and Futuna  and get a  blizzard,Will I ever be able to get a blizzard if I eat in Wallis and Futuna?,"['Wallis and Futuna || country', 'blizzard || condition_description']",correct,,
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to eat in Wallis and Futuna and get a blizzard. I want to make it a picnic for my friends.,"['Wallis and Futuna || country', 'blizzard || condition_description']",wordy,,
I want to eat in  Wallis and Futuna  and get a  blizzard,How do I get a blizzard and eat in Wallis and Futuna?,"['Wallis and Futuna || country', 'blizzard || condition_description']",correct,,
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to go to eat in Wallis and Futuna and get a blizzard. What would it be like?,"['Wallis and Futuna || country', 'blizzard || condition_description']",questioning,,
I want to eat in  Wallis and Futuna  and get a  blizzard,What would happen if we ate at Wallis and Futuna and got a blizzard?,"['Wallis and Futuna || country', 'blizzard || condition_description']",semantic,,
I want to eat in  Wallis and Futuna  and get a  blizzard,Can you eat at Wallis and Futuna during a blizzard?,"['Wallis and Futuna || country', 'blizzard || condition_description']",correct,,
I want to eat in  Wallis and Futuna  and get a  blizzard,I want to live in Wallis & Futuna and get a blizzard. Where do you live?,"['Wallis and Futuna || country', 'blizzard || condition_description']","semantic, questioning",,
I want to eat in  Wallis and Futuna  and get a  blizzard,"If I want to eat in Wallis and Futuna and get a blizzard, then I have to make it over.","['Wallis and Futuna || country', 'blizzard || condition_description']",answering,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 24 hours and 17 seconds as of right now?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']","wordy, slot omission",,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast for this spot today in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",slot addition,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast for the hour 17 in the next 24 hours?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']","grammar, slot omission, slot addition",,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",correct,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is forecast for 23 hours and 17 seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']","grammar, slot omission",,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",duplication,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast in 23 hours and seventeen seconds at this current spot?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",duplication,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast tomorrow?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",slot omission,,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,What is the forecast tomorrow afternoon in 23 hours and seventeen seconds?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']","slot omission, slot addition",,
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,what is forecast in 23 hours and seventeen seconds at this current spot.?,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']",punctuation,,
