utterance,list_of_slots
Will it be  warmer  at  fourteen o'clock  in  Atlas   Mongolia,"['warmer || condition_temperature', ""fourteen o'clock || timeRange"", 'Atlas || city', 'Mongolia || country']"
"What will the weather be on  April 9, 2037  in  New Brunswick Botanical Garden ?","['April 9, 2037 || timeRange', 'New Brunswick Botanical Garden || geographic_poi']"
What is the weather like in  Peru  in  October,"['Peru || country', 'October || timeRange']"
What's the weather  far  away in  Estonia ?,"['far || spatial_relation', 'Estonia || country']"
"What will the weather be in the  current location  on  Feb. the twenty-eighth, 2026 ?","['current location || current_location', 'Feb. the twenty-eighth, 2026 || timeRange']"
Will the weather be good at  breakfast  in  Bay Harbor Islands,"['breakfast || timeRange', 'Bay Harbor Islands || city']"
What weather will  HI  have will there be  hail   twenty one minutes from now,"['HI || state', 'hail || condition_description', 'twenty one minutes from now || timeRange']"
What will the weather be  nearby  in  Delaware ?,"['nearby || spatial_relation', 'Delaware || state']"
What will the weather be  here  at  twelve P.m. ?,"['here || current_location', 'twelve P.m. || timeRange']"
"What is the forecast for  Dec. 1st, 2036  in  Keeneland","['Dec. 1st, 2036 || timeRange', 'Keeneland || city']"
Will there be a  blizzard   this month  in  Uganda,"['blizzard || condition_description', 'this month || timeRange', 'Uganda || country']"
"Will it be  hot  in  West Union ,  Malaysia","['hot || condition_temperature', 'West Union || city', 'Malaysia || country']"
What is the weather forecast for  Sanborn,['Sanborn || city']
What's the  snowfall  in  Malawi ?,"['snowfall || condition_description', 'Malawi || country']"
what is the forecast for  Sweden  in  Westmoreland,"['Sweden || country', 'Westmoreland || city']"
"Will there be a  snowstorm  in  Pomona ,  New Mexico ?","['snowstorm || condition_description', 'Pomona || city', 'New Mexico || state']"
what is the forecast starting  three weeks from now  for  Point Isabel,"['three weeks from now || timeRange', 'Point Isabel || city']"
When will there be a  cloud  in  Australia ?,"['cloud || condition_description', 'Australia || country']"
Was there  rainfall   last mar.  in  Greenbrier   Egypt ?,"['rainfall || condition_description', 'last mar. || timeRange', 'Greenbrier || city', 'Egypt || country']"
what is the forecast starting  next week  in  Guam,"['next week || timeRange', 'Guam || country']"
"Will it get  chillier  in  Las Lomas ,  British Virgin Islands  on  Nov. the 21st ?","['chillier || condition_temperature', 'Las Lomas || city', 'British Virgin Islands || country', 'Nov. the 21st || timeRange']"
Tell me the weather forecast  in 1 hour  for  District Of Columbia  in  Kaysville,"['in 1 hour || timeRange', 'District Of Columbia || state', 'Kaysville || city']"
Tell me the weather forecast for  here   in seven years ,"['here || current_location', 'in seven years  || timeRange']"
how's the weather in  Northfield Center   ME,"['Northfield Center || city', 'ME || state']"
Will the weather this  week  be  warmer  in  Crystal River ?,"['week || timeRange', 'warmer || condition_temperature', 'Crystal River || city']"
Weather at  Norfolk Island,['Norfolk Island || country']
What will the weather be  neighboring   La Tigra National Park ?,"['neighboring || spatial_relation', 'La Tigra National Park || geographic_poi']"
"Tell me the weather forecast for  Ethridge ,  Maryland","['Ethridge || city', 'Maryland || state']"
what is the forecast starting  in a week and a half  in  Faroe Islands  for  cloud  weather,"['in a week and a half || timeRange', 'Faroe Islands || country', 'cloud || condition_description']"
what is the forecast for  Tennessee,['Tennessee || state']
"Will it be  freezing  in  El Casco   Czechia  on  Apr. fourteenth, 2033 ?","['freezing || condition_temperature', 'El Casco || city', 'Czechia || country', 'Apr. fourteenth, 2033 || timeRange']"
want to eat somewhere  windy  in  NM,"['windy || condition_description', 'NM || state']"
Weather in  Witt   october twenty-sixth,"['Witt || city', 'october twenty-sixth || timeRange']"
"Will it be  snowy  on  february the 14th, 2021  in  Port Armstrong ?","['snowy || condition_description', 'february the 14th, 2021 || timeRange', 'Port Armstrong || city']"
Will there be  rainfall  in  Ryland Heights   New York ?,"['rainfall || condition_description', 'Ryland Heights || city', 'New York || state']"
what is the forecast for  Lesotho,['Lesotho || country']
"Please check the weather forecast for  Mauritania  on  August 14, 2040 .","['Mauritania || country', 'August 14, 2040 || timeRange']"
What will the weather be in  Pipe   Venezuela   in 10 years  ?,"['Pipe || city', 'Venezuela || country', 'in 10 years  || timeRange']"
forecast for  Guatemala,['Guatemala || country']
Will it be  stormy  in  Old Fort   Saint Lucia  right  now ?,"['stormy || condition_description', 'Old Fort || city', 'Saint Lucia || country', 'now || timeRange']"
"Will the weather be  sunny  in  Lovettsville  on  may the twenty-fourth, 2020 ?","['sunny || condition_description', 'Lovettsville || city', 'may the twenty-fourth, 2020 || timeRange']"
What will the weather be in  East Liberty   MN ?,"['East Liberty || city', 'MN || state']"
what is the forecast for  Cropsey  for  Aug. the 5th  for  warmer  weather,"['Cropsey || city', 'Aug. the 5th || timeRange', 'warmer || condition_temperature']"
what is the forecast  within the same area  of  Zambia,"['within the same area || spatial_relation', 'Zambia || country']"
What will the weather be in  ID ?,['ID || state']
what is the forecast for  freezing  weather  here,"['freezing || condition_temperature', 'here || current_location']"
What's the weather in  FL ?,['FL || state']
what is the forecast for  Wyoming  starting at  14,"['Wyoming || state', '14 || timeRange']"
What's the weather  next september  in the  current location ?,"['next september || timeRange', 'current location || current_location']"
Show me whether  Iceland  will be  colder  than it was  last april,"['Iceland || country', 'colder || condition_temperature', 'last april || timeRange']"
Please check the weather forecast around  05:54  in  Macedonia .,"['05:54 || timeRange', 'Macedonia || country']"
"what's the weather going to be like in  MI  on  august twenty-eighth, 2033","['MI || state', 'august twenty-eighth, 2033 || timeRange']"
"What is the weather  now  in  Grand Detour ,  UT","['now || timeRange', 'Grand Detour || city', 'UT || state']"
What is the forecast in  KY  for  temperate  weather,"['KY || state', 'temperate || condition_temperature']"
What was the weather  last February  in  William A. Switzer Provincial Park ?,"['last February || timeRange', 'William A. Switzer Provincial Park || geographic_poi']"
Is it  warm  at the  current location ?,"['warm || condition_temperature', 'current location || current_location']"
Will there be  snow  in  North Abington,"['snow || condition_description', 'North Abington || city']"
"Tell me the weather forecast for  Conda ,  VT","['Conda || city', 'VT || state']"
Will it  snow  in  Granbury ?,"['snow || condition_description', 'Granbury || city']"
Weather  in twenty two seconds   within walking distance  of the city of  Jackman  will it be  cold,"['in twenty two seconds || timeRange', 'within walking distance || spatial_relation', 'Jackman || city', 'cold || condition_temperature']"
When will it be  warmer  in  Benin,"['warmer || condition_temperature', 'Benin || country']"
forecast for  Conrad,['Conrad || city']
Will it be  hotter  in  Cale ?,"['hotter || condition_temperature', 'Cale || city']"
Weather in  Park Layne,['Park Layne || city']
"What is the weather forecast for  California  on  august the 13th, 2019 ?","['California || state', 'august the 13th, 2019 || timeRange']"
what is the forecast for  temperate  weather  in 5 weeks  at  Daisy Lake Uplands Provincial Park,"['temperate || condition_temperature', 'in 5 weeks || timeRange', 'Daisy Lake Uplands Provincial Park || geographic_poi']"
Will it be  hot   in 1 minute  in  Massachusetts,"['hot || condition_temperature', 'in 1 minute || timeRange', 'Massachusetts || state']"
I want to book a restaurant in  Neshanic Station   Nigeria  for  06:18:13 pm,"['Neshanic Station || city', 'Nigeria || country', '06:18:13 pm || timeRange']"
Will it be  windy  in  NM ?,"['windy || condition_description', 'NM || state']"
"Will it be  colder  in  Gost Creek   HI  on  jul. 21st, 2020","['colder || condition_temperature', 'Gost Creek || city', 'HI || state', 'jul. 21st, 2020 || timeRange']"
What is th weather going to be like  mar. the twenty-third  in the city of  Value,"['mar. the twenty-third || timeRange', 'Value || city']"
Tell me when  sunrise  is in  Tennessee,"['sunrise || timeRange', 'Tennessee || state']"
What is the weather like in  Newton,['Newton || city']
how's the weather in  Baywood,['Baywood || city']
Is it going to be  overcast  today in  Guyana,"['overcast || condition_description', 'Guyana || country']"
Will it be  colder  in  Oaklawn   Zambia ?,"['colder || condition_temperature', 'Oaklawn || city', 'Zambia || country']"
What kind of weather will be in  TN   a week from now  ?,"['TN || state', 'a week from now || timeRange']"
Weather on  Jul. 23  in  Rhode Island,"['Jul. 23 || timeRange', 'Rhode Island || state']"
Will it be  hotter  at my  current place  at  02:22:32 pm,"['hotter || condition_temperature', 'current place || current_location', '02:22:32 pm || timeRange']"
Is the weather  chillier  in  Hubbardston,"['chillier || condition_temperature', 'Hubbardston || city']"
"Will it  hail  on  July 20, 2027  in  Ingalls ,  Malta","['hail || condition_description', 'July 20, 2027 || timeRange', 'Ingalls || city', 'Malta || country']"
Will it be  warm  in  Jenners   Kansas ?,"['warm || condition_temperature', 'Jenners || city', 'Kansas || state']"
What will the weather be in  Rwanda ?,['Rwanda || country']
What will the weather be in the  Black Bayou Lake National Wildlife Refuge ?,['Black Bayou Lake National Wildlife Refuge || geographic_poi']
How will be the weather in  U.S. Minor Outlying Islands  on  Jul. 17 ?,"['U.S. Minor Outlying Islands || country', 'Jul. 17 || timeRange']"
Will it be  hotter  on the  Isle of Man  at  lunch ?,"['hotter || condition_temperature', 'Isle of Man || country', 'lunch || timeRange']"
how's the forecast for my  current spot,['current spot || current_location']
Will there be  wind  in  Anguilla ?,"['wind || condition_description', 'Anguilla || city']"
"what is the forecast starting on  september 1, 2039  for  chillier  conditions in  AK","['september 1, 2039 || timeRange', 'chillier || condition_temperature', 'AK || state']"
What will the weather be  in a week    near   Unionville Center ?,"['in a week  || timeRange', 'near || spatial_relation', 'Unionville Center || city']"
"Tell me when it will  blizzard  in  Estes Park ,  Utah","['blizzard || condition_description', 'Estes Park || city', 'Utah || state']"
how is the  overcast  condition to start  in one minute  in  Lower Marlboro  in  Montserrat,"['overcast || condition_description', 'in one minute || timeRange', 'Lower Marlboro || city', 'Montserrat || country']"
Give me the weather forecast for  Svalbard and Jan Mayen,['Svalbard and Jan Mayen || country']
Tell me the weather forecast for  HI,['HI || state']
is  Saint Robert   hotter  than  Turkmenistan,"['Saint Robert || city', 'hotter || condition_temperature', 'Turkmenistan || country']"
What is the weather forecast for  Midnight  in  DC ?,"['Midnight || timeRange', 'DC || state']"
weather  close-by   Lone Elk County Park  at  4 am,"['close-by || spatial_relation', 'Lone Elk County Park || geographic_poi', '4 am || timeRange']"
what is the  sunny  condition outlook for  Dundas Valley Conservation Area,"['sunny || condition_description', 'Dundas Valley Conservation Area || geographic_poi']"
Will it be  freezing   not far  from the  Currant Mountain Wilderness ?,"['freezing || condition_temperature', 'not far || spatial_relation', 'Currant Mountain Wilderness || geographic_poi']"
What is the weather forecast for  Manassa ?,['Manassa || city']
what is the forecast for  Douglas State Forest  for  snowy  weather,"['Douglas State Forest || geographic_poi', 'snowy || condition_description']"
What is the weather forecast for  Koszta,['Koszta || city']
What is the weather like in  Wakarusa,['Wakarusa || city']
will it be  cloudy   241 days from now  in  South Korea,"['cloudy || condition_description', '241 days from now || timeRange', 'South Korea || country']"
Will it be  hot  in the  current place   two hundred fourteen days from now ?,"['hot || condition_temperature', 'current place || current_location', 'two hundred fourteen days from now || timeRange']"
"Starting  in one minute , please give me a hourly update as to whether it is  foggy  in  Hallsville ,  Wallis and Futuna","['in one minute || timeRange', 'foggy || condition_description', 'Hallsville || city', 'Wallis and Futuna || country']"
Tell me when  Sunset  is in  New Jersey,"['Sunset || timeRange', 'New Jersey || state']"
What is the weather forecast for  Laos,['Laos || country']
What's the weather in  Almota ?,['Almota || city']
Will there be  wind  in the  District Of Columbia ?,"['wind || condition_description', 'District Of Columbia || state']"
What will the weather be in the  Iñao National Park and Integrated Management Natural Area ?,['Iñao National Park and Integrated Management Natural Area || geographic_poi']
What's the weather in the  current place ?,['current place || current_location']
What is the weather forecast  nearby   here,"['nearby || spatial_relation', 'here || current_location']"
I need the weather for  Laos,['Laos || country']
Will it be  warmer  in  Flag ?,"['warmer || condition_temperature', 'Flag || city']"
I need the weather  close-by  in  MS,"['close-by || spatial_relation', 'MS || state']"
Will it be  hot  in the  current place ?,"['hot || condition_temperature', 'current place || current_location']"
What will the weather be a  nine  in  Willow River State Park ?,"['nine || timeRange', 'Willow River State Park || geographic_poi']"
Will it be  humid  at the  current location   one minute from now ?,"['humid || condition_description', 'current location || current_location', 'one minute from now || timeRange']"
Tell me if there will be  sun  in the  afternoon  in  NH,"['sun || condition_description', 'afternoon || timeRange', 'NH || state']"
"When will it be  hotter   this year  in  Lake Linden ,  Arizona","['hotter || condition_temperature', 'this year || timeRange', 'Lake Linden || city', 'Arizona || state']"
what is the forecast for  California  for  rain,"['California || state', 'rain || condition_description']"
Weather at  Bystrzyca Valley Landscape Park,['Bystrzyca Valley Landscape Park || geographic_poi']
Will it be  sunny  at  three pm  in my  current position,"['sunny || condition_description', 'three pm || timeRange', 'current position || current_location']"
Will it be  cold   here   in one hour ?,"['cold || condition_temperature', 'here || current_location', 'in one hour || timeRange']"
How's the forecast for  VI,['VI || state']
what is the forecast for  here  and for  nearby,"['here || current_location', 'nearby || spatial_relation']"
What will the weather be in  Tontitown ?,['Tontitown || city']
What is the weather  now   nearby   Petit Manan National Wildlife Refuge ?,"['now || timeRange', 'nearby || spatial_relation', 'Petit Manan National Wildlife Refuge || geographic_poi']"
What will the weather be in  Deer River ?,['Deer River || city']
Please check the weather forecast  near   supper  time  here .,"['near || spatial_relation', 'supper || timeRange', 'here || current_location']"
"Tell me when it will be  temperate  at  Carl's Corner , in  NV","['temperate || condition_temperature', ""Carl's Corner || city"", 'NV || state']"
What will the weather be in  Carlock  on  nov. the 9th ?,"['Carlock || city', 'nov. the 9th || timeRange']"
Tell me the weather forecast for  1 month from now  in  Wilkesboro,"['1 month from now || timeRange', 'Wilkesboro || city']"
weather in  Hillsview   MA,"['Hillsview || city', 'MA || state']"
What will the weather be  three hours from now   within walking distance  of  Okanogan National Forest ?,"['three hours from now || timeRange', 'within walking distance || spatial_relation', 'Okanogan National Forest || geographic_poi']"
